"Daily Weather Observations for Orange Agricultural Institute, New South Wales for April 2018"
"Prepared at 13:00 UTC on Wednesday  9 January 2019   IDCJDW2178.201804"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-04-1,,,0,,,,,,,,,,,,,,,,,
,2018-04-2,,27.7,0,,,,,,,,,,,,,,,,,
,2018-04-3,11.5,25.7,0,16.6,,,,,18.5,71,0,SE,7,,,,,,,
,2018-04-4,11.7,25.7,0,3.8,,,,,18.1,68,0,SE,4,,,,,,,
,2018-04-5,11.7,25.6,0,4.2,,,,,17.7,73,0,NNE,7,,,,,,,
,2018-04-6,11.0,,0,4.6,,,,,22.5,42,0,NW,7,,,,,,,
,2018-04-7,,,0,10.4,,,,,12.2,69,0,N,6,,,,,,,
,2018-04-8,,27.0,0,,,,,,,,,,,,,,,,,
,2018-04-9,11.4,28.0,0,14.2,,,,,23.5,34,0,W,41,,,,,,,
,2018-04-10,10.6,27.9,0,8.0,,,,,16.6,65,0,S,15,,,,,,,
,2018-04-11,11.1,27.5,0,5.8,,,,,21.3,53,0,NW,13,,,,,,,
,2018-04-12,14.1,24.5,0,4.8,,,,,18.8,53,0,NW,20,,,,,,,
,2018-04-13,16.0,,0,8.0,,,,,19.0,41,0,NW,46,,,,,,,
,2018-04-14,,26.0,0,,,,,,,,,,,,,,,,,
,2018-04-15,8.0,16.1,0,13.0,,,,,9.9,66,8,WNW,41,,,,,,,
,2018-04-16,9.6,19.8,0,4.6,,,,,14.9,70,7,WSW,20,,,,,,,
,2018-04-17,7.9,22.0,0,3.4,,,,,14.9,71,1,E,7,,,,,,,
,2018-04-18,7.8,21.4,0,3.6,,,,,13.2,75,2,NE,6,,,,,,,
,2018-04-19,9.4,21.7,2.2,3.0,,,,,16.3,79,6,N,15,,,,,,,
,2018-04-20,8.0,,2.4,2.9,,,,,16.0,69,0,SE,7,,,,,,,
,2018-04-21,,,0,,,,,,,,,,,,,,,,,
,2018-04-22,,22.3,0,,,,,,,,,,,,,,,,,
,2018-04-23,7.0,21.5,0.2,6.6,,,,,15.5,70,1,ESE,2,,,,,,,
,2018-04-24,7.0,,0,4.0,,,,,16.0,63,0,ESE,7,,,,,,,
,2018-04-25,,24.5,0,,,,,,,,,,,,,,,,,
,2018-04-26,9.4,19.4,0,7.6,,,,,17.2,51,3,SSW,6,,,,,,,
,2018-04-27,5.9,,0,3.8,,,,,13.0,72,0,SE,6,,,,,,,
,2018-04-28,,19.1,0,,,,,,,,,,,,,,,,,
,2018-04-29,4.5,17.4,0,6.0,,,,,12.0,65,2,ESE,9,,,,,,,
,2018-04-30,4.3,17.6,0,3.0,,,,,11.2,69,0,SE,15,,,,,,,
