"Daily Weather Observations for Orange Agricultural Institute, New South Wales for May 2018"
"Prepared at 13:01 UTC on Tuesday  8 January 2019   IDCJDW2178.201805"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-05-1,3.4,20.4,0,2.0,,,,,13.2,65,4,E,6,,,,,,,
,2018-05-2,8.0,18.9,0,3.7,,,,,13.8,65,5,N,6,,,,,,,
,2018-05-3,8.9,21.2,0,2.7,,,,,16.6,55,2,N,7,,,,,,,
,2018-05-4,11.1,,4.8,1.2,,,,,12.4,91,8,WNW,30,,,,,,,
,2018-05-5,,,,,,,,,,,,,,,,,,,,
,2018-05-6,,,,,,,,,,,,,,,,,,,,
,2018-05-7,,18.0,2.6,,,,,,,,,,,,,,,,,
,2018-05-8,6.0,18.0,0,3.4,,,,,12.8,67,8,NW,2,,,,,,,
,2018-05-9,4.1,,0,1.6,,,,,15.2,51,0, ,Calm,,,,,,,
,2018-05-10,,14.6,0,,,,,,,,,,,,,,,,,
,2018-05-11,0.4,,9.0,3.2,,,,,1.1,98,8,NW,15,,,,,,,
,2018-05-12,,,,,,,,,,,,,,,,,,,,
,2018-05-13,,,,,,,,,,,,,,,,,,,,
,2018-05-14,,14.3,21.0,,,,,,,,,,,,,,,,,
,2018-05-15,1.6,14.9,0,2.2,,,,,10.2,66,0,E,9,,,,,,,
,2018-05-16,1.5,13.8,0,1.6,,,,,8.0,77,0,SE,7,,,,,,,
,2018-05-17,1.6,13.9,0,1.6,,,,,8.2,90,0,NW,4,,,,,,,
,2018-05-18,0.9,,0,2.6,,,,,7.9,75,0,NW,9,,,,,,,
,2018-05-19,,,0,,,,,,,,,,,,,,,,,
,2018-05-20,,12.7,0,,,,,,,,,,,,,,,,,
,2018-05-21,2.6,11.2,0,3.7,,,,,7.2,91,8,W,28,,,,,,,
,2018-05-22,5.8,11.4,0,1.7,,,,,6.9,85,7,SW,31,,,,,,,
,2018-05-23,6.4,17.3,0,1.2,,,,,10.5,25,0,SW,9,,,,,,,
,2018-05-24,2.6,18.8,0.2,1.8,,,,,11.8,66,2,SE,11,,,,,,,
,2018-05-25,3.8,,0.2,2.3,,,,,9.3,86,2,SE,13,,,,,,,
,2018-05-26,,,0,,,,,,,,,,,,,,,,,
,2018-05-27,,17.1,0,,,,,,,,,,,,,,,,,
,2018-05-28,2.4,14.6,0,4.4,,,,,9.5,69,7,SE,2,,,,,,,
,2018-05-29,3.4,16.0,0,0.6,,,,,12.0,73,4,N,7,,,,,,,
,2018-05-30,4.3,7.4,7.8,2.4,,,,,6.5,72,7,SW,11,,,,,,,
,2018-05-31,3.0,7.5,0.2,0.8,,,,,4.0,92,8,W,11,,,,,,,
