"Daily Weather Observations for Orange Agricultural Institute, New South Wales for June 2018"
"Prepared at 16:00 UTC on Monday  7 January 2019   IDCJDW2178.201806"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-06-1,-0.5,,0,1.6,,,,,3.5,76,1,SE,11,,,,,,,
,2018-06-2,,,,,,,,,,,,,,,,,,,,
,2018-06-3,,13.7,,,,,,,,,,,,,,,,,,
,2018-06-4,0.6,13.6,0.4,4.2,,,,,7.8,82,1,SE,4,,,,,,,
,2018-06-5,2.6,12.4,1.6,1.0,,,,,7.0,83,4,S,7,,,,,,,
,2018-06-6,5.5,13.9,0,2.0,,,,,9.2,73,3,ESE,20,,,,,,,
,2018-06-7,6.2,14.8,1.2,1.2,,,,,11.3,69,1,ENE,19,,,,,,,
,2018-06-8,7.0,,0,1.6,,,,,8.9,76,8,WNW,9,,,,,,,
,2018-06-9,,10.7,,,,,,,,,,,,,,,,,,
,2018-06-10,3.3,,17.0,1.6,,,,,7.8,77,1,SSE,4,,,,,,,
,2018-06-11,,13.1,0,,,,,,,,,,,,,,,,,
,2018-06-12,2.2,12.4,1.0,2.8,,,,,7.8,88,7,NNW,4,,,,,,,
,2018-06-13,5.2,9.5,0.2,1.0,,,,,7.5,81,7,WSW,2,,,,,,,
,2018-06-14,4.2,9.7,0,0.8,,,,,7.2,77,6,WNW,28,,,,,,,
,2018-06-15,2.5,,0,1.8,,,,,4.9,76,7,NW,22,,,,,,,
,2018-06-16,,,,,,,,,,,,,,,,,,,,
,2018-06-17,,4.2,15.2,,,,,,,,,,,,,,,,,
,2018-06-18,0.5,7.8,11.2,1.2,,,,,2.9,95,8,WNW,4,,,,,,,
,2018-06-19,1.3,10.0,0,1.0,,,,,3.7,81,7,SE,7,,,,,,,
,2018-06-20,2.8,12.0,0,1.6,,,,,7.9,69,3,ESE,6,,,,,,,
,2018-06-21,0.6,12.3,0,1.0,,,,,7.1,71,6,SW,2,,,,,,,
,2018-06-22,-0.6,,0.2,0.8,,,,,6.8,77,0,NNW,2,,,,,,,
,2018-06-23,,,,,,,,,,,,,,,,,,,,
,2018-06-24,,13.3,,,,,,,,,,,,,,,,,,
,2018-06-25,-2.8,,0.4,4.0,,,,,4.4,83,0,ESE,6,,,,,,,
,2018-06-26,,12.3,0,,,,,,,,,,,,,,,,,
,2018-06-27,1.1,11.0,0,1.0,,,,,6.6,85,1,E,4,,,,,,,
,2018-06-28,6.0,9.3,3.4,1.6,,,,,7.5,95,8,N,15,,,,,,,
,2018-06-29,3.3,6.3,1.0,0.8,,,,,4.3,84,7,NW,20,,,,,,,
,2018-06-30,1.2,,0,0.4,,,,,5.9,88,7,NW,19,,,,,,,
