"Daily Weather Observations for Orange Agricultural Institute, New South Wales for July 2018"
"Prepared at 13:00 UTC on Sunday 20 January 2019   IDCJDW2178.201807"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-07-1,,10.7,0,,,,,,,,,,,,,,,,,
,2018-07-2,-1.0,9.1,0.2,2.6,,,,,6.2,90,8,ESE,4,,,,,,,
,2018-07-3,1.3,12.7,0.2,1.4,,,,,5.5,91,0,SSW,4,,,,,,,
,2018-07-4,2.6,14.9,0.2,1.2,,,,,7.6,92,1,ENE,4,,,,,,,
,2018-07-5,2.7,15.7,0,1.6,,,,,11.7,75,7,N,4,,,,,,,
,2018-07-6,9.5,,0,0.8,,,,,10.5,94,7,NW,43,,,,,,,
,2018-07-7,,14.8,0,,,,,,,,,,,,,,,,,
,2018-07-8,2.1,6.8,10.4,2.4,,,,,3.5,84,8,SW,11,,,,,,,
,2018-07-9,4.0,7.0,0.2,1.0,,,,,4.4,81,7,S,15,,,,,,,
,2018-07-10,-1.6,10.7,0,1.6,,,,,6.0,81,0,N,2,,,,,,,
,2018-07-11,-1.0,10.3,0.4,1.2,,,,,4.9,83,2,ESE,4,,,,,,,
,2018-07-12,-1.3,8.0,0.2,1.0,,,,,4.9,72,3, ,Calm,,,,,,,
,2018-07-13,0.2,,0,1.4,,,,,2.2,85,7,SW,4,,,,,,,
,2018-07-14,,9.5,0,,,,,,,,,,,,,,,,,
,2018-07-15,-5.8,8.9,0,2.8,,,,,4.4,52,0,SSE,2,,,,,,,
,2018-07-16,-3.9,9.4,0,1.4,,,,,3.8,57,0,W,9,,,,,,,
,2018-07-17,2.7,13.2,0,1.8,,,,,6.0,41,0,NW,11,,,,,,,
,2018-07-18,2.2,11.0,0,1.6,,,,,7.4,59,0,E,2,,,,,,,
,2018-07-19,-0.6,12.2,0,1.8,,,,,6.9,59,6,NNW,7,,,,,,,
,2018-07-20,3.6,,0,2.8,,,,,,,8,W,20,,,,,,,
,2018-07-21,,,0,,,,,,,,,,,,,,,,,
,2018-07-22,,9.1,0,,,,,,,,,,,,,,,,,
,2018-07-23,-4.0,10.4,1.4,4.0,,,,,3.9,60,0,NNW,2,,,,,,,
,2018-07-24,4.5,13.1,0,3.2,,,,,8.9,,0,NNW,11,,,,,,,
,2018-07-25,5.8,13.0,0,2.8,,,,,11.2,59,0,SSW,7,,,,,,,
,2018-07-26,0.5,12.0,0.2,2.0,,,,,8.5,74,0,W,13,,,,,,,
,2018-07-27,,,0.2,2.2,,,,,9.5,59,0, ,Calm,,,,,,,
,2018-07-28,,,0,,,,,,,,,,,,,,,,,
,2018-07-29,,16.0,0,,,,,,,,,,,,,,,,,
,2018-07-30,2.1,8.5,3.4,5.2,,,,,4.9,60,2,W,46,,,,,,,
,2018-07-31,-0.2,11.7,0.2,0.4,,,,,6.2,68,1,WNW,37,,,,,,,
