"Daily Weather Observations for Orange Agricultural Institute, New South Wales for September 2018"
"Prepared at 13:00 UTC on Friday 18 January 2019   IDCJDW2178.201809"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-09-1,,12.5,0,,,,,,,,,,,,,,,,,
,2018-09-2,1.5,11.8,14.0,3.8,,,,,8.1,84,3,S,2,,,,,,,
,2018-09-3,3.0,11.7,0,2.0,,,,,6.8,67,2,ESE,19,,,,,,,
,2018-09-4,4.4,12.6,0,2.0,,,,,7.6,78,8,ESE,13,,,,,,,
,2018-09-5,4.9,14.3,0,2.0,,,,,9.5,74,3,ESE,13,,,,,,,
,2018-09-6,6.8,14.0,0,2.8,,,,,10.9,73,7,NNW,7,,,,,,,
,2018-09-7,8.9,,19.6,3.0,,,,,11.2,92,8,NNW,9,,,,,,,
,2018-09-8,,,0,,,,,,,,,,,,,,,,,
,2018-09-9,,13.5,0,,,,,,,,,,,,,,,,,
,2018-09-10,4.1,17.8,0,7.8,,,,,11.9,67,0,E,9,,,,,,,
,2018-09-11,5.3,17.7,0,1.4,,,,,13.8,55,0,WNW,15,,,,,,,
,2018-09-12,9.3,20.5,0,3.6,,,,,14.8,53,0,WNW,31,,,,,,,
,2018-09-13,4.4,18.4,0,5.0,,,,,14.9,55,0,SSE,7,,,,,,,
,2018-09-14,2.9,,0,3.4,,,,,13.8,53,0,NNW,4,,,,,,,
,2018-09-15,,,0,,,,,,,,,,,,,,,,,
,2018-09-16,,20.9,0,,,,,,,,,,,,,,,,,
,2018-09-17,-1.4,13.1,0,12.4,,,,,8.2,64,0,NE,13,,,,,,,
,2018-09-18,4.2,17.2,0,3.0,,,,,11.2,42,0,NNW,20,,,,,,,
,2018-09-19,7.5,14.8,0,4.6,,,,,12.2,40,6,NNW,13,,,,,,,
,2018-09-20,0.5,12.2,0,3.6,,,,,8.3,50,0,ESE,4,,,,,,,
,2018-09-21,-0.9,15.6,0,3.8,,,,,9.8,46,0,NE,4,,,,,,,
,2018-09-22,2.5,,0,2.2,,,,,13.0,50,7, ,Calm,,,,,,,
,2018-09-23,,19.0,0,,,,,,,,,,,,,,,,,
,2018-09-24,4.2,15.0,0,7.2,,,,,9.0,68,7,ESE,20,,,,,,,
,2018-09-25,2.0,15.4,0,4.0,,,,,9.5,69,0,E,11,,,,,,,
,2018-09-26,5.2,11.0,0.8,1.8,,,,,8.1,89,8,E,2,,,,,,,
,2018-09-27,0.6,16.5,4.4,1.6,,,,,9.0,74,0,ENE,2,,,,,,,
,2018-09-28,6.5,,0,2.0,,,,,16.0,35,6,NW,33,,,,,,,
,2018-09-29,,,0,,,,,,,,,,,,,,,,,
,2018-09-30,,,0,,,,,,,,,,,,,,,,,
