"Daily Weather Observations for Orange Agricultural Institute, New South Wales for October 2018"
"Prepared at 13:00 UTC on Thursday 17 January 2019   IDCJDW2178.201810"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-10-1,,21.5,0,,,,,,,,,,,,,,,,,
,2018-10-2,0.0,21.4,0,15.2,,,,,17.4,43,1, ,Calm,,,,,,,
,2018-10-3,9.5,15.7,0,4.4,,,,,14.3,51,8,WNW,19,,,,,,,
,2018-10-4,10.3,12.2,6.2,2.6,,,,,10.9,94,8, ,Calm,,,,,,,
,2018-10-5,8.0,,21.4,0.8,,,,,9.4,81,8,SE,22,,,,,,,
,2018-10-6,,,0,,,,,,,,,,,,,,,,,
,2018-10-7,,17.2,0,,,,,,,,,,,,,,,,,
,2018-10-8,2.0,19.3,0,8.4,,,,,12.4,82,6,SSE,6,,,,,,,
,2018-10-9,6.9,20.0,0,3.6,,,,,14.0,77,8, ,Calm,,,,,,,
,2018-10-10,10.4,14.7,3.2,3.4,,,,,11.0,93,8,ENE,2,,,,,,,
,2018-10-11,5.4,12.9,0,1.3,,,,,7.4,76,6,SE,13,,,,,,,
,2018-10-12,6.4,,0,3.4,,,,,10.1,73,5,NE,13,,,,,,,
,2018-10-13,,,0,,,,,,,,,,,,,,,,,
,2018-10-14,,17.8,0,,,,,,,,,,,,,,,,,
,2018-10-15,6.9,19.8,0,11.6,,,,,13.8,69,1,E,31,,,,,,,
,2018-10-16,11.0,22.2,0,4.4,,,,,16.0,77,7,ENE,7,,,,,,,
,2018-10-17,13.0,18.5,0.6,4.0,,,,,14.7,84,8,NNE,2,,,,,,,
,2018-10-18,9.3,19.8,7.6,2.6,0.0,,,,13.5,96,8,NNW,2,,,,,,,
,2018-10-19,8.6,,0.2,2.6,,,,,16.8,81,1,NNW,6,,,,,,,
,2018-10-20,,,,,,,,,,,,,,,,,,,,
,2018-10-21,,22.5,,,0.0,,,,,,,,,,,,,,,
,2018-10-22,6.1,21.5,1.4,12.6,,,,,15.0,75,1,NNE,4,,,,,,,
,2018-10-23,8.0,24.8,0,4.2,,,,,17.9,67,1, ,Calm,,,,,,,
,2018-10-24,9.4,23.2,0,7.8,,,,,17.4,50,1,SE,2,,,,,,,
,2018-10-25,9.3,23.0,0,6.6,,,,,14.4,75,1,E,4,,,,,,,
,2018-10-26,4.9,,0,6.2,,,,,16.3,29,0,SE,2,,,,,,,
,2018-10-27,,,0,,,,,,,,,,,,,,,,,
,2018-10-28,,22.4,0,,,,,,,,,,,,,,,,,
,2018-10-29,5.7,24.0,0,17.0,,,,,14.0,72,0,NNE,2,,,,,,,
,2018-10-30,6.5,25.1,0,,,,,,15.6,68,0,N,6,,,,,,,
,2018-10-31,11.3,27.5,0,6.4,,,,,21.4,45,1,NW,41,,,,,,,
