"Daily Weather Observations for Orange Agricultural Institute, New South Wales for November 2018"
"Prepared at 16:00 UTC on Wednesday 16 January 2019   IDCJDW2178.201811"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-11-1,12.7,28.2,0,7.1,,,,,21.6,50,6,NW,39,,,,,,,
,2018-11-2,17.0,,0,8.6,,,,,21.9,37,4,NW,44,,,,,,,
,2018-11-3,,,,,,,,,,,,,,,,,,,,
,2018-11-4,,27.8,,,,,,,,,,,,,,,,,,
,2018-11-5,8.1,22.8,19.0,22.0,,,,,20.0,49,8,NNW,2,,,,,,,
,2018-11-6,14.2,24.8,0.8,2.2,,,,,21.0,66,8, ,Calm,,,,,,,
,2018-11-7,13.5,17.7,0.4,2.6,,,,,17.6,75,8,W,6,,,,,,,
,2018-11-8,4.4,13.7,16.0,2.6,,,,,7.8,66,1,SSW,6,,,,,,,
,2018-11-9,2.4,,0,4.6,,,,,10.6,57,7,SE,2,,,,,,,
,2018-11-10,,,0,,,,,,,,,,,,,,,,,
,2018-11-11,,23.0,0,,,,,,,,,,,,,,,,,
,2018-11-12,5.1,24.5,0,16.0,,,,,16.0,55,0, ,Calm,,,,,,,
,2018-11-13,11.7,25.1,0,5.4,,,,,19.0,37,6,N,6,,,,,,,
,2018-11-14,15.0,20.2,0,6.0,,,,,16.5,77,8, ,Calm,,,,,,,
,2018-11-15,10.3,24.8,0.8,3.2,,,,,18.9,65,2,W,6,,,,,,,
,2018-11-16,8.3,,0,5.2,,,,,13.4,91,7,ENE,6,,,,,,,
,2018-11-17,,,0,,,,,,,,,,,,,,,,,
,2018-11-18,,23.2,0,,,,,,,,,,,,,,,,,
,2018-11-19,7.0,23.5,0,16.4,,,,,14.9,62,1,NW,7,,,,,,,
,2018-11-20,10.7,26.1,0,5.8,,,,,18.5,60,2,NNW,7,,,,,,,
,2018-11-21,13.8,18.8,6.8,4.2,,,,,16.9,87,8,NNW,37,,,,,,,
,2018-11-22,7.8,14.1,16.0,6.6,,,,,8.3,99,8,WSW,28,,,,,,,
,2018-11-23,5.2,,2.0,6.4,,,,,5.9,87,8,SW,31,,,,,,,
,2018-11-24,,,,,,,,,,,,,,,,,,,,
,2018-11-25,,19.4,,,,,,,,,,,,,,,,,,
,2018-11-26,4.6,21.8,0.8,13.8,,,,,14.8,51,1,E,4,,,,,,,
,2018-11-27,9.6,22.8,0,6.6,,,,,15.5,68,5,SE,7,,,,,,,
,2018-11-28,12.2,14.8,20.4,4.8,,,,,12.7,94,8,SE,15,,,,,,,
,2018-11-29,7.3,20.2,15.9,1.9,,,,,13.6,67,1,SE,13,,,,,,,
,2018-11-30,10.7,,0,5.2,,,,,16.2,70,3,NW,6,,,,,,,
