"Daily Weather Observations for Orange Agricultural Institute, New South Wales for December 2018"
"Prepared at 13:00 UTC on Monday 21 January 2019   IDCJDW2178.201812"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-12-1,,,,,,,,,,,,,,,,,,,,
,2018-12-2,,25.1,,,,,,,,,,,,,,,,,,
,2018-12-3,6.9,20.2,1.2,21.0,,,,,14.1,67,0,WSW,11,,,,,,,
,2018-12-4,10.9,24.4,0,7.0,,,,,17.3,76,0,S,2,,,,,,,
,2018-12-5,13.0,24.3,0,6.1,,,,,16.4,85,6,NNE,7,,,,,,,
,2018-12-6,10.5,24.4,0.2,6.2,,,,,17.6,76,0,ENE,7,,,,,,,
,2018-12-7,10.7,,0.2,6.2,,,,,16.7,78,0,NNW,2,,,,,,,
,2018-12-8,,,0,,,,,,,,,,,,,,,,,
,2018-12-9,,30.3,0,,,,,,,,,,,,,,,,,
,2018-12-10,12.7,24.5,0,21.4,,,,,20.9,86,7,SE,11,,,,,,,
,2018-12-11,13.8,17.8,1.6,2.8,,,,,17.2,93,8,E,4,,,,,,,
,2018-12-12,13.0,22.6,8.4,3.2,,,,,17.0,89,7,ENE,7,,,,,,,
,2018-12-13,14.7,24.5,12.2,4.4,,,,,16.9,90,8,NW,28,,,,,,,
,2018-12-14,11.2,,24.6,4.6,,,,,12.5,84,8,WNW,2,,,,,,,
,2018-12-15,,,0,,,,,,,,,,,,,,,,,
,2018-12-16,,26.7,0,,,,,,,,,,,,,,,,,
,2018-12-17,10.4,27.5,0,21.6,,,,,22.2,37,0,NNE,4,,,,,,,
,2018-12-18,14.0,29.2,0,8.0,,,,,22.4,68,0,E,2,,,,,,,
,2018-12-19,16.2,30.3,0,5.8,,,,,22.2,75,0, ,Calm,,,,,,,
,2018-12-20,16.1,31.5,15.6,8.0,,,,,23.7,64,2,NNW,20,,,,,,,
,2018-12-21,15.5,,0.6,7.0,,,,,19.2,76,1,SE,2,,,,,,,
