"Daily Weather Observations for Orange Agricultural Institute, New South Wales for January 2019"
"Prepared at 23:36 UTC on Wednesday 23 January 2019   IDCJDW2178.201901"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-01-1,,,,,,,,,,,,,,,,,,,,
,2019-01-2,,,,,,,,,,,,,,,,,,,,
,2019-01-3,,,,,,,,,,,,,,,,,,,,
,2019-01-4,,,,,,,,,,,,,,,,,,,,
,2019-01-5,,,,,,,,,,,,,,,,,,,,
,2019-01-6,,33.8,,,,,,,,,,,,,,,,,,
,2019-01-7,,24.9,5.0,,,,,,18.6,76,7,ENE,4,,,,,,,
,2019-01-8,15.4,27.6,24.2,,,,,,17.3,93,8, ,Calm,,,,,,,
,2019-01-9,15.4,28.7,0.2,3.8,,,,,20.4,70,3,NNW,2,,,,,,,
,2019-01-10,16.4,29.6,0.2,7.0,,,,,22.1,69,0,NNW,7,,,,,,,
,2019-01-11,16.4,,1.0,7.8,,,,,22.2,69,3,N,9,,,,,,,
,2019-01-12,,,0,,,,,,,,,,,,,,,,,
,2019-01-13,,34.0,0,,,,,,,,,,,,,,,,,
,2019-01-14,14.8,33.1,0,11.2,,,,,23.2,57,0,NNW,2,,,,,,,
,2019-01-15,22.6,36.2,0,10.4,,,,,29.0,26,1,N,9,,,,,,,
,2019-01-16,23.1,37.3,0,11.8,,,,,32.0,25,0, ,Calm,,,,,,,
,2019-01-17,21.5,37.1,0,10.0,,,,,29.0,41,0,ENE,2,,,,,,,
,2019-01-18,21.4,,0,10.2,,,,,28.3,42,0,NNW,7,,,,,,,
