created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-08-22 10:31:15 UTC,18683,0,0,0,0,1.32,103,1.87,2.3
2018-08-22 10:41:15 UTC,18684,0,0,0,0,1.46,98,1.92,2.4
2018-08-22 10:51:15 UTC,18685,0,0,0,0,1.16,121,1.4,2.5
2018-08-22 11:01:15 UTC,18686,0,0,0,0,1.21,122,1.63,2.4
2018-08-22 11:11:15 UTC,18687,0,0,0,0,1.32,127,1.74,1.9
2018-08-22 11:21:15 UTC,18688,0,0,0,0,1.3,112,1.8,1.7
2018-08-22 11:31:15 UTC,18689,0,0,0,0,1.22,108,1.61,1.5
2018-08-22 11:41:15 UTC,18690,0,0,0,0,1.13,119,1.56,1.3
2018-08-22 11:51:15 UTC,18691,0,0,0,0,1.28,117,1.55,1.4
2018-08-22 12:01:15 UTC,18692,0,0,0,0,1.39,96,1.83,1.2
2018-08-22 12:11:15 UTC,18693,0,0,0,0,1.36,95,1.67,0.9
2018-08-22 12:21:15 UTC,18694,0,0,0,0,1.26,95,1.57,0.8
2018-08-22 12:31:15 UTC,18695,0,0,0,0,1.34,85,2.01,0.8
2018-08-22 12:41:15 UTC,18696,0,0,0,0,1.42,90,1.87,0.8
2018-08-22 12:51:15 UTC,18697,0,0,0,0,1.49,90,1.85,0.9
2018-08-22 13:01:15 UTC,18698,0,0,0,0,1.72,93,2.05,0.8
2018-08-22 13:11:15 UTC,18699,0,0,0,0,1.94,88,2.41,-0.1
2018-08-22 13:21:15 UTC,18700,0,0,0,0,1.8,95,2.18,-0.3
2018-08-22 13:31:15 UTC,18701,0,0,0,0,1.8,97,2.16,-0.1
2018-08-22 13:41:16 UTC,18702,0,0,0,0,1.81,96,2.14,-0.1
2018-08-22 13:51:15 UTC,18703,0,0,0,0,1.75,110,2.11,-0.2
2018-08-22 14:01:15 UTC,18704,0,0,0,0,1.85,101,2.21,0.2
2018-08-22 14:11:15 UTC,18705,0,0,0,0,2.05,83,3.04,-0.2
2018-08-22 14:21:15 UTC,18706,0,0,0,0,1.72,98,2.27,-0.3
2018-08-22 14:31:15 UTC,18707,0,0,0,0,1.48,98,1.91,0.1
2018-08-22 14:41:15 UTC,18708,0,0,0,0,1.61,106,2.39,0.3
2018-08-22 14:51:15 UTC,18709,0,0,0,0,1.8,124,2.43,0.2
2018-08-22 15:01:15 UTC,18710,0,0,0,0,1.86,125,2.33,0.4
2018-08-22 15:11:15 UTC,18711,0,0,0,0,1.46,124,1.84,0.4
2018-08-22 15:21:15 UTC,18712,0,0,0,0,1.39,126,1.83,0.6
2018-08-22 15:31:15 UTC,18713,0,0,0,0,1.35,117,1.73,0.8
2018-08-22 15:41:15 UTC,18714,0,0,0,0,1.32,116,1.92,0.6
2018-08-22 15:51:15 UTC,18715,0,0,0,0,1.28,107,1.66,0.4
2018-08-22 16:01:15 UTC,18716,0,0,0,0,1.45,118,1.91,0.5
2018-08-22 16:11:15 UTC,18717,0,0,0,0,1.41,115,2.11,0.8
2018-08-22 16:21:15 UTC,18718,0,0,0,0,1.69,118,2.25,1.1
2018-08-22 16:31:15 UTC,18719,0,0,0,0,1.64,117,2.06,1
2018-08-22 16:41:15 UTC,18720,0,0,0,0,1.65,118,2.28,0.8
2018-08-22 16:51:15 UTC,18721,0,0,0,0,1.56,105,2.22,0.7
2018-08-22 17:01:15 UTC,18722,0,0,0,0,1.43,116,1.75,0.8
2018-08-22 17:11:15 UTC,18723,0,0,0,0,1.53,106,2.28,0.9
2018-08-22 17:21:15 UTC,18724,0,0,0,0,1.32,111,2.02,0.8
2018-08-22 17:31:15 UTC,18725,0,0,0,0,1.65,110,2.59,1
2018-08-22 17:41:15 UTC,18726,0,0.01,0,0,1.45,119,2.03,1
2018-08-22 17:51:16 UTC,18727,0,0,0,0,1.2,123,1.86,1.2
2018-08-22 18:01:15 UTC,18728,0,0,0,0,0.8,118,1.71,1.2
2018-08-22 18:11:15 UTC,18729,0,0,0,0,1.05,78,1.72,1
2018-08-22 18:21:15 UTC,18730,0,0.01,0,0,1.35,93,2.03,0.7
2018-08-22 18:31:15 UTC,18731,0,0,0,0,1.43,93,2.31,0.8
2018-08-22 18:41:15 UTC,18732,0,0,0,0,1.42,93,1.99,0.3
2018-08-22 18:51:15 UTC,18733,0,0,0,0,1.36,100,1.93,0.2
2018-08-22 19:01:15 UTC,18734,0,0,0,0,1.11,106,1.58,0.4
2018-08-22 19:11:15 UTC,18735,0,0,0,0,1.08,101,1.37,0.3
2018-08-22 19:21:15 UTC,18736,0,0.01,0,0,1.37,106,2.01,0.6
2018-08-22 19:31:15 UTC,18737,0,0,0,0,1.55,96,2.25,0.1
2018-08-22 19:41:15 UTC,18738,0,0,0,0,1.56,93,2.06,-0.1
2018-08-22 19:51:15 UTC,18739,0,0,0,0,1.38,101,1.69,-0.4
2018-08-22 20:01:15 UTC,18740,0,0,0,0,1.33,106,1.68,0.1
2018-08-22 20:11:15 UTC,18741,0,0.01,0,0,1.31,98,1.73,0
2018-08-22 20:21:15 UTC,18742,0,0,0,0,1.29,98,1.78,0
2018-08-22 20:31:15 UTC,18743,1,0,0,0,1.23,104,1.6,0.2
2018-08-22 20:41:15 UTC,18744,5,0,0,0,1.26,93,1.79,0.3
2018-08-22 20:51:15 UTC,18745,11,0,0,0,1.46,81,2.3,0.1
2018-08-22 21:01:15 UTC,18746,16,0.01,0,0,1.43,88,1.92,-0.1
2018-08-22 21:11:15 UTC,18747,21,0,0,0,1.39,99,2.09,0
2018-08-22 21:21:15 UTC,18748,54,0,0,0,1.37,92,2.11,0.2
2018-08-22 21:31:15 UTC,18749,101,0,0,0,1.1,79,1.98,1
2018-08-22 21:41:15 UTC,18750,165,0,0,0,1.12,79,2.1,2.2
2018-08-22 21:51:15 UTC,18751,191,0,0,0,1.15,76,1.79,2.9
2018-08-22 22:01:15 UTC,18752,219,0.01,0,0,1.5,62,2.63,3.5
2018-08-22 22:11:15 UTC,18753,247,0,0,0,1.63,44,3.42,4
2018-08-22 22:21:15 UTC,18754,249,0,0,0,1.75,43,3.17,4.4
2018-08-22 22:31:15 UTC,18755,188,0,0,0,1.4,20,3.6,4.5
2018-08-22 22:41:15 UTC,18756,248,0,0,0,2.11,35,4.42,4.5
2018-08-22 22:51:15 UTC,18757,274,0,0,0,2.15,36,4.17,4.5
2018-08-22 23:01:15 UTC,18758,400,0,0,0,1.63,39,3.29,5.4
2018-08-22 23:11:15 UTC,18759,319,0,0,0,1.37,12,3.59,5.9
2018-08-22 23:31:15 UTC,18760,424,0,0,0,1.9,7,4.28,6.4
2018-08-22 23:41:15 UTC,18761,480,0,0,0,2.14,24,5.31,6.8
2018-08-22 23:51:15 UTC,18762,540,0,0,0,2.18,20,5.55,7.2
2018-08-23 00:01:15 UTC,18763,641,0,0,0,1.89,6,4.31,8
2018-08-23 00:11:15 UTC,18764,604,0,0,0,1.74,350,5.13,8.3
2018-08-23 00:21:15 UTC,18765,268,0,0,0,1.42,14,3.73,7.6
2018-08-23 00:31:15 UTC,18766,351,0,0,0,1.85,12,5.43,7.6
2018-08-23 00:41:15 UTC,18767,468,0,0,0,1.75,354,3.44,8
2018-08-23 00:51:15 UTC,18768,283,0,0,0,1.67,348,4.03,7.6
2018-08-23 01:01:15 UTC,18769,441,0,0,0,1.73,336,3.94,7.8
2018-08-23 01:11:15 UTC,18770,374,0,0,0,1.94,28,3.47,7.6
2018-08-23 01:21:15 UTC,18771,601,0,0,0,2.4,35,9.05,8.4
2018-08-23 01:31:15 UTC,18772,421,0,0,0,1.67,20,3.83,8.3
2018-08-23 01:41:15 UTC,18773,450,0,0,0,2,9,5.53,8.8
2018-08-23 01:51:15 UTC,18774,467,0,0,0,2.47,34,4.05,8.5
2018-08-23 02:01:15 UTC,18775,355,0,0,0,2.17,28,5.83,8.5
2018-08-23 02:11:25 UTC,18776,486,0,0,0,1.84,349,4.27,8.9
2018-08-23 02:21:15 UTC,18777,675,0,0,0,1.99,0,4.3,9.7
2018-08-23 02:31:15 UTC,18778,687,0,0,0,2.11,345,4.89,9.7
2018-08-23 02:41:15 UTC,18779,709,0,0,0,1.92,321,4.5,9.7
2018-08-23 02:51:15 UTC,18780,758,0,0,0,3.37,305,6.49,10.1
2018-08-23 03:01:15 UTC,18781,798,0,0,0,3.8,304,7.72,9.8
2018-08-23 03:11:15 UTC,18782,606,0,0,0,3.44,299,5.91,9.7
2018-08-23 03:21:15 UTC,18783,640,0,0,0,2.5,316,6.15,10.1
2018-08-23 03:31:15 UTC,18784,805,0,0,0,1.8,39,4.11,10.9
2018-08-23 03:41:15 UTC,18785,722,0,0,0,1.67,346,4.73,11.1
2018-08-23 03:51:15 UTC,18786,700,0,0,0,2.11,316,4.12,10.9
2018-08-23 04:01:15 UTC,18787,648,0,0,0,3.12,311,5.64,10.8
2018-08-23 04:11:15 UTC,18788,636,0,0,0,4.02,291,6.69,10.7
2018-08-23 04:21:15 UTC,18789,496,0,0,0,3.29,307,6.13,10.6
2018-08-23 04:31:15 UTC,18790,634,0,0,0,2.26,305,3.8,11
2018-08-23 04:51:15 UTC,18791,607,0,0,0,1.05,6,2.24,11.8
2018-08-23 05:01:14 UTC,18792,589,0,0,0,1.87,326,5.47,12
2018-08-23 05:11:15 UTC,18793,384,0,0,0,2,325,4.01,11.5
2018-08-23 05:21:15 UTC,18794,419,0,0,0,2.1,317,4.77,11.3
2018-08-23 05:51:15 UTC,18795,271,0,0,0,3.59,307,5.58,10.9
2018-08-23 06:31:15 UTC,18796,47,0,0,0,1.96,301,3.5,10.1
2018-08-23 06:41:14 UTC,18797,94,0,0,0,1.42,275,3.04,10
2018-08-23 06:51:14 UTC,18798,90,0,0,0,2.26,296,4.42,10.4
2018-08-23 07:01:14 UTC,18799,44,0,0,0,1.63,295,2.76,10.1
2018-08-23 07:11:14 UTC,18800,43,0,0,0,1.17,230,1.81,9.6
2018-08-23 07:21:15 UTC,18801,46,0,0,0,0.9,223,1.34,9.5
2018-08-23 07:31:14 UTC,18802,25,0,0,0,0.91,205,1.39,9.4
2018-08-23 07:41:14 UTC,18803,8,0,0,0,0.6,148,0.96,9.2
2018-08-23 07:51:15 UTC,18804,2,0,0,0,1.16,82,1.37,8.5
2018-08-23 08:01:14 UTC,18805,0,0,0,0,1.39,83,1.69,8.2
2018-08-23 08:11:14 UTC,18806,0,0,0,0,1.19,108,1.62,8.2
2018-08-23 08:21:16 UTC,18807,0,0,0,0,1.28,128,1.67,7.9
2018-08-23 08:31:14 UTC,18808,0,0,0,0,1.22,136,2.06,7.5
2018-08-23 08:41:14 UTC,18809,0,0,0,0,1.16,138,1.83,7.6
2018-08-23 08:51:14 UTC,18810,0,0,0,0,1.11,124,1.45,7.7
2018-08-23 09:01:14 UTC,18811,0,0,0,0,1.33,98,1.65,7
2018-08-23 09:21:14 UTC,18812,0,0,0,0,1.35,104,1.68,6.1
2018-08-23 09:31:14 UTC,18813,0,0,0,0,1.29,103,1.72,6
2018-08-23 09:41:14 UTC,18814,0,0,0,0,1.51,98,2.08,5.4
2018-08-23 09:51:14 UTC,18815,0,0,0,0,1.43,99,2.08,5.2
2018-08-23 10:01:14 UTC,18816,0,0,0,0,1.28,95,1.75,4.9
2018-08-23 10:11:14 UTC,18817,0,0,0,0,1.56,83,2.1,4.5
2018-08-23 10:21:15 UTC,18818,0,0,0,0,1.95,81,2.65,4.7
2018-08-23 10:31:14 UTC,18819,0,0,0,0,2,83,2.58,4.9
2018-08-23 10:51:14 UTC,18820,0,0,0,0,1.63,94,2.1,4.4
2018-08-23 11:01:14 UTC,18821,0,0,0,0,1.75,95,2.27,3.6
2018-08-23 11:21:14 UTC,18822,0,0,0,0,1.78,87,2.57,2.8
2018-08-23 11:31:14 UTC,18823,0,0,0,0,1.45,94,1.94,3.2
2018-08-23 11:41:14 UTC,18824,0,0,0,0,1.79,87,2.43,3.5
2018-08-23 11:51:14 UTC,18825,0,0,0,0,1.46,101,2.46,3.4
2018-08-23 12:11:14 UTC,18826,0,0,0,0,1.4,106,1.8,3.3
2018-08-23 12:21:14 UTC,18827,0,0,0,0,1.53,106,1.92,3.2
2018-08-23 12:31:14 UTC,18828,0,0,0,0,1.35,105,1.9,2.9
2018-08-23 12:41:16 UTC,18829,0,0,0,0,1.3,98,1.92,3
2018-08-23 12:51:15 UTC,18830,0,0,0,0,1.33,109,2.01,2.8
2018-08-23 13:01:14 UTC,18831,0,0,0,0,1.68,125,2.07,3
2018-08-23 13:11:14 UTC,18832,0,0,0,0,1.77,123,2.11,3
2018-08-23 13:21:14 UTC,18833,0,0,0,0,1.69,125,2.11,3
2018-08-23 13:31:14 UTC,18834,0,0,0,0,1.73,124,2.31,2.7
2018-08-23 13:41:16 UTC,18835,0,0,0,0,1.84,124,2.19,2.6
2018-08-23 13:51:14 UTC,18836,0,0,0,0,1.6,126,2.11,2.3
2018-08-23 14:01:14 UTC,18837,0,0,0,0,1.59,123,2.08,2.3
2018-08-23 14:11:14 UTC,18838,0,0,0,0,1.37,116,2.01,1.9
2018-08-23 14:21:14 UTC,18839,0,0,0,0,1.3,117,1.74,1.6
2018-08-23 14:31:14 UTC,18840,0,0,0,0,1.45,128,1.91,1.8
2018-08-23 14:41:14 UTC,18841,0,0,0,0,1.25,125,1.61,1.8
2018-08-23 14:51:14 UTC,18842,0,0,0,0,1.5,134,1.95,1.8
2018-08-23 15:01:14 UTC,18843,0,0,0,0,1.2,126,1.67,1.7
2018-08-23 15:11:14 UTC,18844,0,0,0,0,1.02,127,1.48,1.6
2018-08-23 15:21:15 UTC,18845,0,0,0,0,1.04,123,1.55,1.5
2018-08-23 15:31:14 UTC,18846,0,0,0,0,1.11,136,1.66,1.5
2018-08-23 15:41:15 UTC,18847,0,0,0,0,1.16,126,1.68,1.6
2018-08-23 15:51:14 UTC,18848,0,0,0,0,1.34,125,1.68,1.6
2018-08-23 16:01:14 UTC,18849,0,0,0,0,1.41,125,1.98,1.6
2018-08-23 16:11:14 UTC,18850,0,0,0,0,1.37,124,1.77,1.6
2018-08-23 16:21:14 UTC,18851,0,0,0,0,1.27,126,1.76,1.5
2018-08-23 16:31:14 UTC,18852,0,0,0,0,1.23,130,1.59,1.5
2018-08-23 16:41:14 UTC,18853,0,0,0,0,1.16,123,1.8,1.4
2018-08-23 16:51:14 UTC,18854,0,0,0,0,1.46,127,2.06,1.4
2018-08-23 17:01:14 UTC,18855,0,0,0,0,1.29,127,1.6,1.5
2018-08-23 17:11:14 UTC,18856,0,0,0,0,1.4,127,1.85,1.5
2018-08-23 17:21:14 UTC,18857,0,0,0,0,1.47,132,1.86,1.7
2018-08-23 17:31:14 UTC,18858,0,0,0,0,1.21,124,1.9,1.7
2018-08-23 17:41:15 UTC,18859,0,0,0,0,1.27,121,1.86,1.7
2018-08-23 17:51:15 UTC,18860,0,0,0,0,1.46,125,1.87,1.8
2018-08-23 18:01:14 UTC,18861,0,0,0,0,1.48,123,2,1.6
2018-08-23 18:11:14 UTC,18862,0,0,0,0,1.48,127,1.93,1.5
2018-08-23 18:21:14 UTC,18863,0,0,0,0,1.7,129,2.08,1.6
2018-08-23 18:31:14 UTC,18864,0,0,0,0,1.43,124,1.78,1.6
2018-08-23 18:41:15 UTC,18865,0,0,0,0,1.41,123,1.93,1.4
2018-08-23 18:51:14 UTC,18866,0,0,0,0,1.57,128,2,1.6
2018-08-23 19:01:14 UTC,18867,0,0,0,0,1.47,125,1.97,1.7
