created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-01 00:08:41 UTC,416,649,0,0,0,3.89,287,6.23,21.8
2018-04-01 00:18:41 UTC,417,672,0,0,0,3.54,291,5.58,21.9
2018-04-01 00:28:41 UTC,418,692,0,0,0,3.91,298,6.73,22.1
2018-04-01 00:38:41 UTC,419,711,0,0,0,3.07,290,5.35,22.5
2018-04-01 00:48:41 UTC,420,729,0,0,0,3.26,294,5.75,22.8
2018-04-01 00:58:41 UTC,421,746,0,0,0,3.18,281,6.03,23
2018-04-01 01:08:41 UTC,422,758,0,0,0,3,276,5.17,23
2018-04-01 01:18:41 UTC,423,766,0,0,0,3.48,296,6.5,23.6
2018-04-01 01:28:41 UTC,424,782,0,0,0,3.51,269,6.98,23.5
2018-04-01 01:38:41 UTC,425,790,0,0,0,3.55,278,8.29,23.9
2018-04-01 01:48:41 UTC,426,797,0,0,0,3.12,299,6.24,24
2018-04-01 01:58:41 UTC,427,800,0,0,0,2.63,289,5.78,24.3
2018-04-01 02:08:41 UTC,428,804,0,0,0,3.14,289,6.64,24.6
2018-04-01 02:18:41 UTC,429,810,0,0,0,3.27,266,6.22,24.5
2018-04-01 02:28:40 UTC,430,728,0,0,0,3.52,275,5.91,25.1
2018-04-01 02:38:41 UTC,431,796,0,0,0,3.45,296,5.54,25.1
2018-04-01 02:48:41 UTC,432,798,0,0,0,3.48,284,6.73,25.2
2018-04-01 02:58:41 UTC,433,809,0,0,0,3.21,274,6.3,25.8
2018-04-01 03:08:41 UTC,434,702,0,0,0,2.8,283,5.08,25.4
2018-04-01 03:18:41 UTC,435,800,0,0,0,3.94,288,7.42,25.5
2018-04-01 03:28:40 UTC,436,768,0,0,0,2.95,268,6.95,25.6
2018-04-01 03:38:41 UTC,437,594,0,0,0,3.21,271,5.08,26
2018-04-01 03:48:41 UTC,438,726,0,0,0,2.6,267,5.33,25.9
2018-04-01 03:58:41 UTC,439,742,0,0,0,2.7,274,6.02,26.2
2018-04-01 04:08:40 UTC,440,719,0,0,0,2.58,268,5.39,26.1
2018-04-01 04:18:41 UTC,441,712,0,0,0,2.16,287,3.94,26.4
2018-04-01 04:28:41 UTC,442,219,0,0,0,2.33,260,4.57,25.6
2018-04-01 04:39:10 UTC,443,615,0,0,0,2.25,239,5.66,25.8
2018-04-01 04:48:40 UTC,444,474,0,0,0,1.87,244,4.77,26.1
2018-04-01 04:58:40 UTC,445,229,0,0,0,2.05,268,5.26,25.8
2018-04-01 05:08:41 UTC,446,313,0,0,0,2.1,225,4.28,25.7
2018-04-01 05:18:40 UTC,447,166,0,0,0,1.93,225,3.4,25.5
2018-04-01 05:28:40 UTC,448,524,0,0,0,1.52,224,2.77,26.2
2018-04-01 05:38:40 UTC,449,541,0,0,0,1.54,251,3.74,26.5
2018-04-01 05:48:40 UTC,450,433,0,0,0,2.47,277,5.1,26.7
2018-04-01 05:58:41 UTC,451,366,0,0,0,1.97,275,4.02,26.5
2018-04-01 06:08:40 UTC,452,372,0,0,0,2.06,291,3.4,26.6
2018-04-01 06:18:40 UTC,453,368,0,0,0,2.61,258,4.62,26.6
2018-04-01 06:28:40 UTC,454,314,0,0,0,2.78,259,5.4,26.5
2018-04-01 06:38:40 UTC,455,255,0,0,0,1.05,288,3.15,26.7
2018-04-01 06:48:40 UTC,456,228,0,0,0,2.26,274,4.03,26.3
2018-04-01 06:58:41 UTC,457,193,0,0,0,2.03,256,4.26,26.2
2018-04-01 07:08:40 UTC,458,157,0,0,0,2.42,252,4.35,26
2018-04-01 07:18:40 UTC,459,113,0,0,0,2.08,256,3.47,25.8
2018-04-01 07:28:40 UTC,460,61,0,0,0,1.01,252,1.61,25.3
2018-04-01 07:38:40 UTC,461,49,0,0,0,1.01,240,1.73,24.9
2018-04-01 07:48:40 UTC,462,16,0,0,0,1.08,226,1.9,24.4
2018-04-01 07:58:40 UTC,463,5,0,0,0,0.58,199,0.95,24
2018-04-01 08:08:40 UTC,464,1,0,0,0,0.61,175,0.94,23.7
2018-04-01 08:18:40 UTC,465,0,0,0,0,0.77,173,1.19,23.3
2018-04-01 08:28:40 UTC,466,0,0,0,0,0.65,157,1.09,22.7
2018-04-01 08:38:40 UTC,467,0,0,0,0,0.78,139,1.35,21.4
2018-04-01 08:48:40 UTC,468,0,0,0,0,0.77,141,1.03,21.5
2018-04-01 08:58:42 UTC,469,0,0,0,0,0.94,126,1.26,20.5
2018-04-01 09:08:44 UTC,470,0,0,0,0,1.12,137,1.59,19.8
2018-04-01 09:18:40 UTC,471,0,0,0,0,1.12,124,1.53,19.3
2018-04-01 09:28:40 UTC,472,0,0,0,0,1.04,124,1.83,19.2
2018-04-01 09:38:40 UTC,473,0,0,0,0,1.15,124,1.55,18.9
2018-04-01 09:48:40 UTC,474,0,0,0,0,1.16,121,1.58,19
2018-04-01 09:58:40 UTC,475,0,0,0,0,1,115,1.4,18.7
2018-04-01 10:08:40 UTC,476,0,0,0,0,1,115,1.44,18.8
2018-04-01 10:18:40 UTC,477,0,0,0,0,1.05,108,1.29,17.5
2018-04-01 10:28:40 UTC,478,0,0,0,0,0.97,102,1.17,16.9
2018-04-01 10:38:40 UTC,479,0,0,0,0,0.75,91,1.03,16.6
2018-04-01 10:48:40 UTC,480,0,0,0,0,0.33,129,0.66,17.5
2018-04-01 10:58:40 UTC,481,0,0,0,0,0.96,98,1.32,16.8
2018-04-01 11:08:40 UTC,482,0,0,0,0,1.08,103,1.34,16.3
2018-04-01 11:18:40 UTC,483,0,0,0,0,0.82,99,0.98,16.4
2018-04-01 11:28:40 UTC,484,0,0,0,0,1.01,104,1.19,16.3
2018-04-01 11:38:40 UTC,485,0,0,0,0,0.96,106,1.12,16.5
2018-04-01 11:48:40 UTC,486,0,0,0,0,1.05,102,1.2,16.7
2018-04-01 11:58:40 UTC,487,0,0,0,0,1.09,100,1.27,15.9
2018-04-01 12:08:40 UTC,488,0,0,0,0,0.95,95,1.17,15.6
2018-04-01 12:18:40 UTC,489,0,0,0,0,0.82,94,1.07,16.4
2018-04-01 12:28:40 UTC,490,0,0,0,0,0.61,102,0.99,16.3
2018-04-01 12:38:40 UTC,491,0,0,0,0,0.94,101,1.31,16.5
2018-04-01 12:48:40 UTC,492,0,0,0,0,1,110,1.24,15.8
2018-04-01 12:58:40 UTC,493,0,0,0,0,0.87,108,1.41,16.9
2018-04-01 13:08:40 UTC,494,0,0,0,0,0.89,96,1.26,16.5
2018-04-01 13:18:40 UTC,495,0,0,0,0,0.98,105,1.16,16.5
2018-04-01 13:28:40 UTC,496,0,0,0,0,0.9,104,1.13,16.7
2018-04-01 13:38:40 UTC,497,0,0,0,0,0.76,110,1.04,17.5
2018-04-01 13:48:40 UTC,498,0,0,0,0,0.75,101,1.07,17
2018-04-01 13:58:40 UTC,499,0,0,0,0,0.51,93,0.75,17.5
2018-04-01 14:08:40 UTC,500,0,0,0,0,0.55,88,0.73,17.1
2018-04-01 14:18:40 UTC,501,0,0,0,0,0.75,101,0.97,16.5
2018-04-01 14:28:40 UTC,502,0,0,0,0,0.66,101,0.98,16.8
2018-04-01 14:38:40 UTC,503,0,0,0,0,0.51,74,0.81,16.8
2018-04-01 14:48:40 UTC,504,0,0,0,0,0.48,128,0.96,17.5
2018-04-01 14:58:40 UTC,505,0,0,0,0,0.52,117,0.97,17.6
2018-04-01 15:08:40 UTC,506,0,0,0,0,0.31,123,0.52,17.9
2018-04-01 15:18:40 UTC,507,0,0,0,0,0.51,179,0.95,18.6
2018-04-01 15:28:40 UTC,508,0,0,0,0,0.42,153,0.8,17.8
2018-04-01 15:38:40 UTC,509,0,0,0,0,0.66,191,1.16,18.7
2018-04-01 15:48:40 UTC,510,0,0,0,0,0.79,207,1.68,19.3
2018-04-01 15:58:40 UTC,511,0,0,0,0,0.87,224,1.49,19.7
2018-04-01 16:08:40 UTC,512,0,0,0,0,0.84,226,1.38,19.7
2018-04-01 16:18:40 UTC,513,0,0,0,0,0.89,234,1.53,19.6
2018-04-01 16:28:40 UTC,514,0,0,0,0,0.52,235,0.87,19.2
2018-04-01 16:38:40 UTC,515,0,0,0,0,0.43,225,0.71,18.8
2018-04-01 16:48:40 UTC,516,0,0,0,0,0.2,236,0.58,18.3
2018-04-01 16:58:40 UTC,517,0,0,0,0,0.09,167,0.21,17.7
2018-04-01 17:08:39 UTC,518,0,0,0,0,0.19,108,0.52,17.3
2018-04-01 17:18:40 UTC,519,0,0,0,0,0.52,101,0.8,17
2018-04-01 17:28:40 UTC,520,0,0,0,0,0.4,131,0.7,17.3
2018-04-01 17:38:40 UTC,521,0,0,0,0,0.43,189,0.8,17.7
2018-04-01 17:48:40 UTC,522,0,0,0,0,0.3,223,0.55,17.9
2018-04-01 17:58:45 UTC,523,0,0,0,0,0.47,206,0.78,18.2
2018-04-01 18:08:40 UTC,524,0,0,0,0,0.73,218,1.47,18.8
2018-04-01 18:18:39 UTC,525,0,0,0,0,0.78,228,1.34,19
2018-04-01 18:28:40 UTC,526,0,0,0,0,0.91,235,1.6,19
2018-04-01 18:38:40 UTC,527,0,0,0,0,0.8,236,1.21,18.8
2018-04-01 18:48:39 UTC,528,0,0,0,0,0.95,229,1.48,19.1
2018-04-01 18:58:39 UTC,529,0,0,0,0,0.9,229,1.4,19.4
2018-04-01 19:08:39 UTC,530,0,0,0,0,1.47,233,2.52,19.8
2018-04-01 19:18:39 UTC,531,0,0,0,0,1.27,268,2.08,19.1
2018-04-01 19:28:40 UTC,532,0,0,0,0,1.05,240,2.05,18.9
2018-04-01 19:38:39 UTC,533,0,0,0,0,1.1,239,1.8,19.1
2018-04-01 19:48:40 UTC,534,0,0,0,0,1,235,1.55,19
2018-04-01 19:58:39 UTC,535,0,0,0,0,0.85,241,1.65,19
2018-04-01 20:08:40 UTC,536,0,0,0,0,0.57,220,1.11,18.8
2018-04-01 20:18:39 UTC,537,2,0,0,0,0.43,165,0.76,18.2
2018-04-01 20:28:39 UTC,538,6,0,0,0,0.23,92,0.55,17.7
2018-04-01 20:38:39 UTC,539,16,0,0,0,0.15,178,0.28,17.9
2018-04-01 20:48:39 UTC,540,22,0,0,0,0.2,223,0.33,18.2
2018-04-01 20:58:39 UTC,541,28,0,0,0,0.29,209,0.56,18
2018-04-01 21:08:39 UTC,542,29,0,0,0,0.66,230,1.22,18.3
2018-04-01 21:18:39 UTC,543,42,0,0,0,0.94,231,1.43,18.6
2018-04-01 21:28:39 UTC,544,60,0,0,0,0.67,222,1.02,18.5
2018-04-01 21:38:39 UTC,545,69,0,0,0,0.78,220,1.05,18.6
2018-04-01 21:48:39 UTC,546,149,0,0,0,0.81,236,1.35,18.8
2018-04-01 21:58:39 UTC,547,267,0,0,0,1.31,251,2.18,19.8
2018-04-01 22:08:39 UTC,548,183,0,0,0,1.49,249,2.48,20.1
2018-04-01 22:18:39 UTC,549,133,0,0,0,1.5,252,2.56,20.3
2018-04-01 22:28:39 UTC,550,118,0,0,0,1.73,256,2.35,20.5
